time,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-10-11,416.135,417.13,413.25,416.32,416.32,14144944,0.0000,1.0
2024-10-10,415.225,417.35,413.15,415.84,415.84,13848376,0.0000,1.0
2024-10-09,415.86,420.38,414.3,417.46,417.46,14974257,0.0000,1.0
2024-10-08,410.9,415.66,408.17,414.71,414.71,19229261,0.0000,1.0
2024-10-07,416.0,417.11,409.0,409.54,409.54,20919761,0.0000,1.0
2024-10-04,418.24,419.75,414.97,416.06,416.06,19190913,0.0000,1.0
2024-10-03,417.63,419.55,414.29,416.54,416.54,13686421,0.0000,1.0
2024-10-02,422.58,422.82,416.71,417.13,417.13,16582257,0.0000,1.0
2024-10-01,428.45,428.48,418.81,420.69,420.69,19092945,0.0000,1.0
2024-09-30,428.21,430.42,425.37,430.3,430.3,16854606,0.0000,1.0
2024-09-27,431.52,431.85,427.47,428.02,428.02,14896131,0.0000,1.0
2024-09-26,435.085,435.3,429.13,431.31,431.31,14492044,0.0000,1.0
2024-09-25,429.83,433.119,428.57,432.11,432.11,13396364,0.0000,1.0
2024-09-24,433.0,433.35,426.1,429.17,429.17,17015754,0.0000,1.0
2024-09-23,434.28,436.46,430.3889,433.51,433.51,15128891,0.0000,1.0
2024-09-20,437.22,439.24,434.22,435.27,435.27,55167106,0.0000,1.0
2024-09-19,441.225,441.5,436.9,438.69,438.69,21706559,0.0000,1.0
2024-09-18,435.0,436.03,430.41,430.81,430.81,18898042,0.0000,1.0
2024-09-17,440.23,441.85,432.27,435.15,435.15,18874231,0.0000,1.0
2024-09-16,430.6,433.53,428.22,431.34,431.34,13834697,0.0000,1.0
2024-09-13,425.825,431.83,425.46,430.59,430.59,15874555,0.0000,1.0
2024-09-12,423.31,427.3692,419.75,427.0,427.0,17418759,0.0000,1.0
2024-09-11,415.5,423.99,409.58,423.04,423.04,19266923,0.0000,1.0
2024-09-10,408.2,416.33,407.7,414.2,414.2,19594287,0.0000,1.0
2024-09-09,407.24,408.65,402.15,405.72,405.72,15295134,0.0000,1.0
2024-09-06,409.06,410.65,400.8,401.7,401.7,19609526,0.0000,1.0
2024-09-05,407.62,413.1,406.13,408.39,408.39,14195516,0.0000,1.0
2024-09-04,405.91,411.24,404.37,408.9,408.9,14886710,0.0000,1.0
2024-09-03,417.91,419.88,407.03,409.44,409.44,20313603,0.0000,1.0
2024-08-30,415.6,417.49,412.13,417.14,417.14,24308324,0.0000,1.0
2024-08-29,414.94,422.05,410.6,413.12,413.12,17045241,0.0000,1.0
2024-08-28,414.88,415.0,407.31,410.6,410.6,14882660,0.0000,1.0
2024-08-27,412.86,414.36,410.25,413.84,413.84,13492911,0.0000,1.0
2024-08-26,416.365,417.2799,411.34,413.49,413.49,13152830,0.0000,1.0
2024-08-23,416.98,419.26,412.09,416.79,416.79,18493784,0.0000,1.0
2024-08-22,424.36,426.7899,414.61,415.55,415.55,19361901,0.0000,1.0
2024-08-21,424.075,426.4,421.72,424.14,424.14,16067298,0.0000,1.0
2024-08-20,421.7,425.86,421.64,424.8,424.8,16387581,0.0000,1.0
2024-08-19,418.96,421.75,416.46,421.53,421.53,15233957,0.0000,1.0
2024-08-16,420.6,421.34,417.3,418.47,418.47,22775593,0.0000,1.0
2024-08-15,419.8,421.11,417.66,421.03,421.03,20752144,0.7500,1.0
2024-08-14,414.8,417.72,412.4456,416.86,416.11874863673,18266980,0.0000,1.0
2024-08-13,409.59,414.95,409.57,414.01,413.273816444592,19414271,0.0000,1.0
2024-08-12,407.06,408.76,404.2434,406.81,406.086619327612,16762883,0.0000,1.0
2024-08-09,404.03,408.05,402.2624,406.02,405.298024088387,19276666,0.0000,1.0
2024-08-08,402.44,405.86,399.9407,402.69,401.973945421784,20203030,0.0000,1.0
2024-08-07,408.635,410.08,397.47,398.43,397.721520460904,20650906,0.0000,1.0
2024-08-06,400.0,405.67,398.5,399.61,398.899422210631,24946525,0.0000,1.0
2024-08-05,389.17,401.04,385.58,395.15,394.44735288539,40709238,0.0000,1.0
2024-08-02,412.49,415.0,404.34,408.49,407.76363198824,29437900,0.0000,1.0
2024-08-01,420.785,427.46,413.0901,417.11,416.368304092181,30296400,0.0000,1.0
2024-07-31,420.495,421.775,412.21,418.35,417.606099151216,42891366,0.0000,1.0
2024-07-30,427.72,429.05,417.36,422.92,422.167972876855,32687578,0.0000,1.0
2024-07-29,431.58,432.15,424.7042,426.73,425.971198017924,15125836,0.0000,1.0
2024-07-26,418.2,428.915,417.27,425.27,424.513794158092,23583839,0.0000,1.0
2024-07-25,428.8,429.8,417.51,418.4,417.656010242306,29943795,0.0000,1.0
2024-07-24,440.45,441.48,427.585,428.9,428.137339371236,26805800,0.0000,1.0
2024-07-23,443.895,448.39,443.1,444.85,444.058977428991,13107050,0.0000,1.0
2024-07-22,441.79,444.6,438.9125,442.94,442.152373749348,15808755,0.0000,1.0
2024-07-19,433.1,441.14,432.0,437.11,436.332740528237,20940417,0.0000,1.0
2024-07-18,444.34,444.65,434.4,440.37,439.586943667315,20794822,0.0000,1.0
2024-07-17,442.59,444.85,439.18,443.52,442.731342405994,21754021,0.0000,1.0
2024-07-16,454.22,454.3,446.66,449.52,448.720673336811,17175679,0.0000,1.0
2024-07-15,453.3,457.26,451.43,453.96,453.152778225615,14429447,0.0000,1.0
2024-07-12,454.325,456.36,450.645,453.55,452.743507278676,16324274,0.0000,1.0
2024-07-11,462.98,464.78,451.55,454.7,453.891462373749,23111175,0.0000,1.0
2024-07-10,461.22,466.46,458.855,466.25,465.420924415572,18196100,0.0000,1.0
2024-07-09,467.0,467.33,458.0,459.54,458.722855991275,17228507,0.0000,1.0
2024-07-08,466.55,467.7,464.46,466.24,465.410942197354,12962321,0.0000,1.0
2024-07-05,459.61,468.35,458.965,467.56,466.728595002134,16000290,0.0000,1.0
2024-07-03,458.19,461.02,457.88,460.77,459.950668832093,9932830,0.0000,1.0
2024-07-02,453.2,459.59,453.113,459.28,458.463318317606,13979779,0.0000,1.0
2024-07-01,448.66,457.37,445.66,456.73,455.917852672009,17662818,0.0000,1.0
2024-06-28,453.07,455.38,446.41,446.95,446.155243254777,28362271,0.0000,1.0
2024-06-27,452.175,456.17,451.77,452.85,452.044752003414,14806324,0.0000,1.0
2024-06-26,449.0,453.6,448.19,452.16,451.35597894637,16507030,0.0000,1.0
2024-06-25,448.25,451.42,446.75,450.95,450.148130541989,16747529,0.0000,1.0
2024-06-24,449.8,452.75,446.41,447.67,446.873962966475,15913719,0.0000,1.0
2024-06-21,447.38,450.58,446.51,449.78,448.980211010479,34486172,0.0000,1.0
2024-06-20,446.3,446.53,441.27,445.7,444.907465977524,19877378,0.0000,1.0
2024-06-18,449.705,450.14,444.89,446.34,445.546327943478,17112504,0.0000,1.0
2024-06-17,442.585,450.94,440.72,448.37,447.572718241737,20790030,0.0000,1.0
2024-06-14,438.275,443.1376,436.721,442.57,441.783031675281,13581985,0.0000,1.0
2024-06-13,440.85,443.39,439.37,441.58,440.794792071696,15960565,0.0000,1.0
2024-06-12,435.32,443.4,433.25,441.06,440.275716724359,22366233,0.0000,1.0
2024-06-11,425.475,432.82,425.25,432.68,431.910617857651,14551101,0.0000,1.0
2024-06-10,424.7,428.08,423.89,427.87,427.109170894779,14003034,0.0000,1.0
2024-06-07,426.2,426.28,423.0,423.85,423.096319171132,13621650,0.0000,1.0
2024-06-06,424.01,425.31,420.58,424.52,423.76512779174,14861251,0.0000,1.0
2024-06-05,417.81,424.08,416.3,424.01,423.25603466262,16988038,0.0000,1.0
2024-06-04,412.43,416.44,409.675,416.07,415.330153397506,14348917,0.0000,1.0
2024-06-03,415.525,416.43,408.9234,413.52,412.784687751909,17484675,0.0000,1.0
2024-05-31,416.75,416.75,404.51,415.13,414.391824885011,47995250,0.0000,1.0
2024-05-30,424.3,424.3,414.24,414.67,413.932642846982,28424847,0.0000,1.0
2024-05-29,425.69,430.94,425.69,429.17,428.406859263123,15517130,0.0000,1.0
2024-05-28,429.63,430.82,426.6,430.32,429.554814358196,15718024,0.0000,1.0
2024-05-24,427.19,431.055,424.41,430.16,429.395098866708,11855285,0.0000,1.0
2024-05-23,432.97,433.6,425.424,427.0,426.240717909811,17211689,0.0000,1.0
2024-05-22,430.09,432.41,427.13,430.52,429.754458722557,18073698,0.0000,1.0
2024-05-21,426.825,432.97,424.85,429.04,428.277090426289,21453255,0.0000,1.0
